                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3671,                 1.5769,                 1.2752,                0.84477,                0.39725,                0.51039,                0.34272,                 1.2859,                 1.6561,                 1.1396,             0.00065608,             0.00065608,             0.00065608
                      2,                 1.2385,                  1.059,                 1.1463,                0.68828,                0.41729,                0.48506,                0.35496,                 1.1826,                 1.3939,                 1.1982,              0.0013201,              0.0013201,              0.0013201
                      3,                 1.2533,                  1.046,                 1.1507,                0.81316,                0.49313,                 0.5921,                0.42013,                 1.1286,                 1.1079,                 1.1573,              0.0019815,              0.0019815,              0.0019815
                      4,                 1.1866,                0.95802,                 1.1271,                0.80452,                 0.5498,                0.64779,                 0.4485,                 1.0972,                0.98636,                 1.1214,              0.0019881,              0.0019881,              0.0019881
                      5,                 1.1672,                0.91165,                 1.1173,                0.79605,                0.49342,                0.59928,                0.40742,                 1.1911,                 1.0228,                  1.189,              0.0019881,              0.0019881,              0.0019881
                      6,                 1.1686,                 0.8879,                 1.1094,                0.77656,                0.49456,                0.60209,                0.38512,                 1.2678,                 1.1475,                 1.2424,              0.0019842,              0.0019842,              0.0019842
                      7,                 1.1647,                0.87394,                 1.1136,                0.81433,                0.55607,                0.65111,                0.44588,                 1.1235,                0.93267,                 1.1276,              0.0019802,              0.0019802,              0.0019802
                      8,                 1.1279,                0.84078,                  1.102,                0.84642,                0.54808,                0.66262,                 0.4705,                 1.0701,                0.89865,                 1.1237,              0.0019762,              0.0019762,              0.0019762
                      9,                 1.1224,                0.82733,                 1.1002,                0.80324,                 0.5351,                0.64214,                0.45012,                 1.1099,                 0.8885,                 1.1545,              0.0019723,              0.0019723,              0.0019723
                     10,                 1.1119,                0.82233,                 1.0981,                0.84165,                0.57956,                0.68866,                0.49024,                 1.0096,                0.79709,                 1.1018,              0.0019683,              0.0019683,              0.0019683
                     11,                 1.1326,                0.81873,                 1.0982,                0.82524,                0.56762,                0.67897,                  0.496,                0.97302,                0.79772,                 1.0718,              0.0019644,              0.0019644,              0.0019644
                     12,                 1.1017,                0.79069,                 1.0904,                0.86648,                0.58472,                0.69603,                  0.496,                 1.0123,                0.78189,                 1.0966,              0.0019604,              0.0019604,              0.0019604
                     13,                  1.102,                0.79333,                 1.0899,                0.86083,                0.56783,                0.68379,                0.48244,                 1.0549,                0.81467,                 1.1191,              0.0019564,              0.0019564,              0.0019564
                     14,                 1.0991,                0.78215,                   1.09,                0.84052,                0.55511,                0.67368,                0.47171,                 1.0786,                0.83066,                  1.105,              0.0019525,              0.0019525,              0.0019525
                     15,                 1.0878,                0.77118,                 1.0813,                 0.8468,                0.57556,                0.69517,                0.50161,                 1.0027,                 0.7878,                 1.0722,              0.0019485,              0.0019485,              0.0019485
                     16,                 1.0791,                0.76201,                 1.0795,                0.88438,                0.59616,                0.71173,                0.51642,                0.98186,                0.75006,                   1.07,              0.0019446,              0.0019446,              0.0019446
                     17,                 1.0921,                0.76122,                 1.0805,                0.86616,                0.56983,                0.67111,                0.48437,                 1.0175,                0.80885,                 1.1042,              0.0019406,              0.0019406,              0.0019406
                     18,                 1.0839,                0.75708,                 1.0804,                0.87191,                0.57613,                0.69818,                0.51131,                0.96344,                0.76161,                 1.0633,              0.0019366,              0.0019366,              0.0019366
                     19,                 1.0607,                0.73871,                 1.0686,                0.84077,                0.58329,                0.68816,                 0.4924,                 1.0248,                0.74123,                 1.1057,              0.0019327,              0.0019327,              0.0019327
                     20,                 1.0748,                0.75299,                 1.0756,                0.85976,                0.60017,                0.70502,                0.52291,                0.93705,                0.71274,                 1.0642,              0.0019287,              0.0019287,              0.0019287
                     21,                 1.0703,                0.74111,                 1.0792,                0.87174,                 0.5836,                0.69889,                 0.4997,                 1.0198,                0.74629,                  1.104,              0.0019248,              0.0019248,              0.0019248
                     22,                 1.0623,                0.73046,                 1.0694,                0.87313,                0.60272,                0.72567,                 0.5303,                 0.9409,                0.70599,                 1.0575,              0.0019208,              0.0019208,              0.0019208
                     23,                 1.0483,                0.72029,                 1.0618,                0.85384,                0.58685,                0.70486,                0.51289,                0.96243,                 0.7395,                 1.0649,              0.0019168,              0.0019168,              0.0019168
                     24,                 1.0446,                0.71881,                  1.058,                0.86535,                0.60446,                0.72089,                0.52565,                 0.9435,                0.70945,                 1.0533,              0.0019129,              0.0019129,              0.0019129
                     25,                 1.0617,                0.72398,                 1.0674,                0.85593,                0.58558,                0.70342,                0.51069,                0.98395,                0.73412,                 1.0816,              0.0019089,              0.0019089,              0.0019089
                     26,                 1.0578,                0.71786,                  1.065,                0.87369,                 0.5913,                0.71064,                0.51309,                0.97956,                0.73701,                 1.0814,               0.001905,               0.001905,               0.001905
                     27,                 1.0376,                0.70264,                 1.0609,                0.86211,                0.59531,                0.70686,                0.51166,                0.98329,                0.73675,                 1.0846,               0.001901,               0.001901,               0.001901
                     28,                 1.0396,                0.70507,                 1.0591,                0.84981,                0.60733,                0.70475,                0.51856,                 0.9363,                0.70758,                 1.0597,               0.001897,               0.001897,               0.001897
                     29,                 1.0417,                0.70006,                 1.0539,                 0.8591,                0.59216,                0.70297,                  0.493,                 1.0368,                0.76002,                 1.1305,              0.0018931,              0.0018931,              0.0018931
                     30,                 1.0446,                0.70432,                 1.0558,                0.87205,                0.60862,                 0.7176,                0.51236,                 1.0038,                0.74725,                 1.0969,              0.0018891,              0.0018891,              0.0018891
                     31,                 1.0355,                0.69624,                 1.0578,                0.86986,                 0.5892,                0.70955,                0.51661,                0.96029,                 0.7074,                 1.0714,              0.0018852,              0.0018852,              0.0018852
                     32,                 1.0314,                0.68609,                  1.056,                0.87885,                0.60627,                0.72169,                0.53029,                0.93817,                0.70908,                 1.0604,              0.0018812,              0.0018812,              0.0018812
                     33,                 1.0281,                0.69494,                 1.0532,                 0.8709,                0.59854,                0.72162,                0.52968,                0.94486,                0.67977,                 1.0636,              0.0018772,              0.0018772,              0.0018772
