                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.259,                 2.7934,                 3.7424,                0.28672,                0.20349,                0.15197,                0.05913,                 2.4805,                 2.6138,                 2.9801,             0.00066138,             0.00066138,             0.00066138
                      2,                 2.4612,                  1.951,                 2.6088,                0.46588,                 0.3028,                0.30805,                0.14673,                 2.0095,                 2.3773,                 2.3793,              0.0013237,              0.0013237,              0.0013237
                      3,                 2.1056,                 1.6643,                 2.1878,                0.59825,                0.37006,                 0.4187,                0.22401,                 1.8028,                   1.77,                 2.1033,              0.0019815,              0.0019815,              0.0019815
                      4,                 1.9206,                 1.5143,                 1.9611,                0.68624,                 0.4144,                0.48729,                0.28346,                 1.6548,                 1.4661,                 1.9286,              0.0019802,              0.0019802,              0.0019802
                      5,                 1.7693,                 1.3949,                 1.8234,                0.65139,                0.43045,                0.48153,                0.28534,                 1.5547,                 1.5619,                 1.8143,              0.0019802,              0.0019802,              0.0019802
                      6,                 1.6843,                 1.3633,                 1.7436,                0.72479,                0.44419,                0.52945,                0.32166,                 1.5449,                 1.3525,                 1.7726,              0.0019736,              0.0019736,              0.0019736
                      7,                 1.6429,                 1.2992,                 1.6885,                0.73682,                0.43646,                0.52947,                0.33492,                 1.4532,                 1.2932,                 1.7244,               0.001967,               0.001967,               0.001967
                      8,                 1.5736,                 1.2463,                 1.6394,                0.74043,                0.46766,                0.55586,                0.35633,                 1.3676,                 1.1988,                 1.6375,              0.0019604,              0.0019604,              0.0019604
                      9,                 1.5445,                 1.2063,                 1.6012,                0.75724,                0.46909,                0.56929,                0.37228,                 1.3535,                 1.1529,                 1.5998,              0.0019538,              0.0019538,              0.0019538
                     10,                 1.4957,                  1.161,                 1.5728,                0.80131,                0.48131,                0.58703,                 0.3824,                 1.3165,                 1.1142,                 1.5836,              0.0019472,              0.0019472,              0.0019472
                     11,                 1.4864,                 1.1499,                 1.5649,                0.79375,                0.48906,                0.59325,                0.38673,                 1.3197,                 1.1399,                 1.5611,              0.0019406,              0.0019406,              0.0019406
                     12,                 1.4529,                 1.0983,                  1.521,                0.79434,                0.49771,                0.60271,                0.40453,                 1.2241,                 1.0407,                 1.4983,               0.001934,               0.001934,               0.001934
                     13,                 1.4144,                 1.0786,                 1.5139,                0.77554,                0.51422,                0.60807,                0.39935,                 1.2337,                 1.0646,                 1.4918,              0.0019274,              0.0019274,              0.0019274
                     14,                 1.4094,                 1.0899,                 1.5121,                0.79067,                0.52519,                0.63182,                0.42862,                 1.1661,                0.99275,                 1.4359,              0.0019208,              0.0019208,              0.0019208
                     15,                 1.3809,                 1.0471,                 1.4817,                0.80744,                0.52318,                0.63187,                 0.4302,                 1.1719,                0.98996,                 1.4343,              0.0019142,              0.0019142,              0.0019142
                     16,                 1.3771,                 1.0254,                 1.4775,                0.80563,                0.51202,                0.61934,                0.42528,                  1.191,                0.99092,                 1.4452,              0.0019076,              0.0019076,              0.0019076
                     17,                 1.3665,                 1.0145,                 1.4563,                0.78972,                0.48477,                0.58846,                0.39255,                 1.2457,                 1.0519,                 1.4948,               0.001901,               0.001901,               0.001901
                     18,                  1.369,                 1.0132,                 1.4605,                0.84332,                0.51088,                 0.6341,                0.43841,                 1.1581,                0.95297,                 1.4226,              0.0018944,              0.0018944,              0.0018944
                     19,                 1.3318,                0.99015,                 1.4345,                0.83665,                0.52748,                0.64534,                0.44209,                 1.1508,                0.93474,                 1.4244,              0.0018878,              0.0018878,              0.0018878
                     20,                 1.3381,                0.98444,                 1.4402,                0.81752,                0.49485,                0.61537,                0.41041,                 1.2074,                 1.0166,                 1.4574,              0.0018812,              0.0018812,              0.0018812
                     21,                 1.3255,                0.96644,                 1.4266,                0.82535,                0.53463,                0.64942,                0.44814,                 1.1517,                0.96344,                  1.406,              0.0018746,              0.0018746,              0.0018746
                     22,                 1.3102,                0.95796,                  1.426,                0.81549,                0.53887,                0.65033,                0.45067,                 1.1092,                0.91641,                  1.382,               0.001868,               0.001868,               0.001868
                     23,                 1.2879,                 0.9466,                 1.4035,                 0.8076,                0.54665,                0.65154,                  0.448,                 1.1354,                0.91152,                 1.3953,              0.0018614,              0.0018614,              0.0018614
                     24,                  1.287,                 0.9356,                 1.4127,                0.84697,                0.51603,                0.64083,                0.43257,                 1.1782,                0.94071,                 1.4435,              0.0018548,              0.0018548,              0.0018548
                     25,                 1.2974,                0.95195,                 1.4191,                0.78618,                0.47251,                0.56642,                 0.3686,                 1.3061,                 1.0875,                 1.5541,              0.0018482,              0.0018482,              0.0018482
                     26,                 1.2654,                0.90732,                  1.383,                0.85514,                0.52881,                 0.6524,                0.44345,                  1.147,                0.92452,                 1.4081,              0.0018416,              0.0018416,              0.0018416
                     27,                 1.2693,                0.90528,                 1.3836,                0.84005,                0.53434,                0.64904,                0.43907,                 1.1781,                0.94093,                 1.4261,               0.001835,               0.001835,               0.001835
                     28,                 1.2653,                0.90847,                 1.3854,                0.84793,                0.54522,                0.66704,                0.45801,                 1.1131,                 0.8791,                 1.3881,              0.0018284,              0.0018284,              0.0018284
                     29,                 1.2645,                0.90089,                 1.3735,                0.84546,                0.55495,                0.67046,                0.47155,                 1.0788,                 0.8579,                 1.3493,              0.0018218,              0.0018218,              0.0018218
                     30,                 1.2628,                0.90068,                 1.3749,                0.83655,                0.54436,                0.66078,                 0.4533,                 1.1264,                0.88309,                 1.3899,              0.0018152,              0.0018152,              0.0018152
                     31,                 1.2392,                0.89192,                  1.387,                0.84881,                0.55123,                0.66416,                0.45451,                 1.1158,                0.87423,                 1.3702,              0.0018086,              0.0018086,              0.0018086
                     32,                 1.2226,                0.87293,                 1.3534,                0.82916,                0.52919,                0.64482,                0.43961,                 1.1388,                0.92096,                 1.3932,               0.001802,               0.001802,               0.001802
                     33,                 1.2323,                0.87658,                 1.3595,                0.84407,                0.56125,                0.67766,                0.47599,                 1.0554,                 0.8551,                 1.3395,              0.0017954,              0.0017954,              0.0017954
                     34,                 1.2269,                0.87896,                 1.3609,                0.86382,                 0.5501,                0.67834,                0.48297,                 1.0525,                0.87886,                 1.3292,              0.0017888,              0.0017888,              0.0017888
                     35,                 1.2145,                0.86933,                 1.3448,                0.84921,                0.54751,                0.66908,                0.45532,                 1.1093,                0.89602,                 1.3626,              0.0017822,              0.0017822,              0.0017822
                     36,                 1.2371,                0.88454,                 1.3544,                0.84985,                0.56537,                0.67774,                0.48043,                 1.0472,                0.84276,                 1.3167,              0.0017756,              0.0017756,              0.0017756
                     37,                 1.2338,                0.87589,                 1.3501,                0.84496,                0.56182,                0.67649,                0.47069,                 1.0822,                0.84945,                 1.3436,               0.001769,               0.001769,               0.001769
                     38,                 1.2194,                0.86494,                 1.3512,                0.85177,                0.56525,                0.68377,                0.47975,                 1.0583,                0.82593,                 1.3282,              0.0017624,              0.0017624,              0.0017624
                     39,                 1.2203,                0.86254,                 1.3482,                0.82489,                0.55953,                0.67584,                0.46847,                 1.0896,                0.84539,                 1.3527,              0.0017558,              0.0017558,              0.0017558
                     40,                 1.1998,                0.84167,                 1.3365,                0.85862,                0.56983,                0.68194,                0.47668,                  1.052,                 0.8354,                 1.3207,              0.0017492,              0.0017492,              0.0017492
                     41,                 1.1952,                0.84769,                 1.3263,                0.86114,                0.55909,                0.68363,                0.47646,                 1.0435,                0.82089,                 1.3134,              0.0017426,              0.0017426,              0.0017426
                     42,                 1.2032,                0.85799,                 1.3448,                0.83719,                0.56411,                0.67767,                0.47103,                 1.0786,                0.84963,                 1.3427,               0.001736,               0.001736,               0.001736
                     43,                 1.1787,                 1.2465,                 1.3171,                0.84069,                0.56525,                0.67607,                0.47164,                 1.0698,                0.83904,                 1.3319,              0.0017294,              0.0017294,              0.0017294
                     44,                 1.1899,                0.82075,                  1.324,                0.84163,                0.58071,                0.69187,                0.47997,                 1.0751,                0.81855,                 1.3429,              0.0017228,              0.0017228,              0.0017228
                     45,                 1.1707,                0.81662,                 1.3218,                0.85935,                0.57879,                 0.6993,                 0.4878,                 1.0473,                0.78954,                 1.3103,              0.0017162,              0.0017162,              0.0017162
                     46,                 1.1899,                0.81605,                 1.3163,                0.85667,                0.57842,                0.69344,                0.49336,                 1.0364,                0.79341,                 1.3058,              0.0017096,              0.0017096,              0.0017096
                     47,                 1.1796,                0.82134,                  1.315,                0.84526,                0.58329,                0.69808,                0.49614,                 1.0297,                0.80137,                 1.2906,               0.001703,               0.001703,               0.001703
                     48,                  1.177,                0.81666,                  1.315,                0.86898,                0.58786,                0.70631,                0.49329,                 1.0503,                0.77687,                 1.3184,              0.0016964,              0.0016964,              0.0016964
                     49,                 1.1821,                0.81765,                 1.3065,                0.84179,                0.55839,                0.66958,                0.46037,                 1.0907,                0.85252,                 1.3593,              0.0016898,              0.0016898,              0.0016898
                     50,                 1.1738,                0.81837,                 1.3136,                0.85857,                0.58205,                0.69744,                0.49155,                 1.0454,                0.78846,                 1.3035,              0.0016832,              0.0016832,              0.0016832
                     51,                 1.1849,                0.82103,                 1.3192,                0.85609,                0.57547,                0.69045,                0.48543,                 1.0293,                0.78909,                 1.3027,              0.0016766,              0.0016766,              0.0016766
                     52,                 1.1519,                0.79901,                 1.2976,                0.86517,                0.58953,                0.70939,                0.50087,                 1.0232,                0.75541,                 1.2924,                0.00167,                0.00167,                0.00167
                     53,                 1.1667,                0.80407,                 1.3074,                0.86856,                0.58243,                0.70785,                0.50574,                0.98963,                0.77941,                 1.2706,              0.0016634,              0.0016634,              0.0016634
                     54,                 1.1564,                0.80067,                 1.3004,                 0.8534,                0.58243,                0.70574,                0.50307,                 1.0058,                0.76583,                 1.2824,              0.0016568,              0.0016568,              0.0016568
                     55,                  1.142,                0.79373,                 1.2934,                0.84834,                0.58987,                0.70021,                0.49576,                 1.0135,                0.77227,                 1.2974,              0.0016502,              0.0016502,              0.0016502
                     56,                 1.1609,                0.79462,                 1.2948,                0.86844,                0.58558,                 0.7041,                 0.5079,                 1.0095,                0.75974,                 1.2775,              0.0016436,              0.0016436,              0.0016436
                     57,                 1.1513,                0.78268,                 1.2946,                0.87569,                0.59073,                0.70829,                0.51254,                0.99464,                0.75136,                 1.2686,               0.001637,               0.001637,               0.001637
                     58,                 1.1521,                0.79534,                 1.3054,                0.85895,                0.59302,                0.71334,                0.50934,                0.99838,                0.74641,                 1.2743,              0.0016304,              0.0016304,              0.0016304
                     59,                 1.1443,                0.78322,                 1.2903,                0.84212,                0.59689,                0.70907,                0.50619,                0.99381,                0.74528,                 1.2782,              0.0016238,              0.0016238,              0.0016238
                     60,                 1.1496,                0.79539,                 1.2956,                0.85008,                 0.5826,                0.69903,                0.48849,                 1.0615,                 0.7948,                 1.3135,              0.0016172,              0.0016172,              0.0016172
                     61,                 1.1474,                0.79115,                 1.3038,                0.87872,                0.59515,                0.71995,                0.50932,                 1.0029,                 0.7418,                 1.2715,              0.0016106,              0.0016106,              0.0016106
                     62,                 1.1514,                0.78802,                 1.2975,                0.87367,                0.57798,                0.70444,                0.49621,                 1.0367,                0.76294,                 1.3111,               0.001604,               0.001604,               0.001604
